model,workload,threshold,metric,value,zero_div,n
all-MiniLM-L6-v2,chat,0.7,hit_rate,0.023333,False,300
all-MiniLM-L6-v2,chat,0.75,hit_rate,0.006667,False,300
all-MiniLM-L6-v2,chat,0.8,hit_rate,0.003333,False,300
all-MiniLM-L6-v2,chat,0.85,hit_rate,0.003333,False,300
all-MiniLM-L6-v2,chat,0.9,hit_rate,0.003333,False,300
all-MiniLM-L6-v2,code,0.7,hit_rate,0.02,False,300
all-MiniLM-L6-v2,code,0.75,hit_rate,0.02,False,300
all-MiniLM-L6-v2,code,0.8,hit_rate,0.016667,False,300
all-MiniLM-L6-v2,code,0.85,hit_rate,0.013333,False,300
all-MiniLM-L6-v2,code,0.9,hit_rate,0.006667,False,300
all-MiniLM-L6-v2,faq,0.7,hit_rate,0.24,False,300
all-MiniLM-L6-v2,faq,0.75,hit_rate,0.14,False,300
all-MiniLM-L6-v2,faq,0.8,hit_rate,0.07,False,300
all-MiniLM-L6-v2,faq,0.85,hit_rate,0.04,False,300
all-MiniLM-L6-v2,faq,0.9,hit_rate,0.016667,False,300
modernbert,chat,0.7,hit_rate,0.023333,False,300
modernbert,chat,0.75,hit_rate,0.003333,False,300
modernbert,chat,0.8,hit_rate,0.003333,False,300
modernbert,chat,0.85,hit_rate,0.003333,False,300
modernbert,chat,0.9,hit_rate,0.003333,False,300
modernbert,code,0.7,hit_rate,0.02,False,300
modernbert,code,0.75,hit_rate,0.02,False,300
modernbert,code,0.8,hit_rate,0.016667,False,300
modernbert,code,0.85,hit_rate,0.01,False,300
modernbert,code,0.9,hit_rate,0.003333,False,300
modernbert,faq,0.7,hit_rate,0.2,False,300
modernbert,faq,0.75,hit_rate,0.12,False,300
modernbert,faq,0.8,hit_rate,0.076667,False,300
modernbert,faq,0.85,hit_rate,0.04,False,300
modernbert,faq,0.9,hit_rate,0.016667,False,300
