model,workload,threshold,metric,value,zero_div,n
all-MiniLM-L6-v2,chat,0.7,precision,0.714286,False,300
all-MiniLM-L6-v2,chat,0.75,precision,1,False,300
all-MiniLM-L6-v2,chat,0.8,precision,1,False,300
all-MiniLM-L6-v2,chat,0.85,precision,1,False,300
all-MiniLM-L6-v2,chat,0.9,precision,1,False,300
all-MiniLM-L6-v2,code,0.7,precision,0.666667,False,300
all-MiniLM-L6-v2,code,0.75,precision,0.666667,False,300
all-MiniLM-L6-v2,code,0.8,precision,0.6,False,300
all-MiniLM-L6-v2,code,0.85,precision,0.75,False,300
all-MiniLM-L6-v2,code,0.9,precision,0.5,False,300
all-MiniLM-L6-v2,faq,0.7,precision,0.875,False,300
all-MiniLM-L6-v2,faq,0.75,precision,0.880952,False,300
all-MiniLM-L6-v2,faq,0.8,precision,0.904762,False,300
all-MiniLM-L6-v2,faq,0.85,precision,1,False,300
all-MiniLM-L6-v2,faq,0.9,precision,1,False,300
modernbert,chat,0.7,precision,0.857143,False,300
modernbert,chat,0.75,precision,1,False,300
modernbert,chat,0.8,precision,1,False,300
modernbert,chat,0.85,precision,1,False,300
modernbert,chat,0.9,precision,1,False,300
modernbert,code,0.7,precision,0.666667,False,300
modernbert,code,0.75,precision,0.666667,False,300
modernbert,code,0.8,precision,0.8,False,300
modernbert,code,0.85,precision,1,False,300
modernbert,code,0.9,precision,1,False,300
modernbert,faq,0.7,precision,0.916667,False,300
modernbert,faq,0.75,precision,0.888889,False,300
modernbert,faq,0.8,precision,0.913043,False,300
modernbert,faq,0.85,precision,1,False,300
modernbert,faq,0.9,precision,1,False,300
