config_id,model,workload,threshold,n,tp,fp,tn,fn,precision,recall,f0_5,fpr,hit_rate,precision_zero_div,recall_zero_div,fpr_zero_div
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,300,63,9,128,100,0.875000,0.386503,0.698448,0.065693,0.240000,False,False,False
all-MiniLM-L6-v2|faq|0.75,all-MiniLM-L6-v2,faq,0.75,300,37,5,132,126,0.880952,0.226994,0.558912,0.036496,0.140000,False,False,False
all-MiniLM-L6-v2|faq|0.80,all-MiniLM-L6-v2,faq,0.80,300,19,2,135,144,0.904762,0.116564,0.384615,0.014599,0.070000,False,False,False
all-MiniLM-L6-v2|faq|0.85,all-MiniLM-L6-v2,faq,0.85,300,12,0,137,151,1.000000,0.073620,0.284360,0.000000,0.040000,False,False,False
all-MiniLM-L6-v2|faq|0.90,all-MiniLM-L6-v2,faq,0.90,300,5,0,137,158,1.000000,0.030675,0.136612,0.000000,0.016667,False,False,False
all-MiniLM-L6-v2|code|0.70,all-MiniLM-L6-v2,code,0.70,300,4,2,231,63,0.666667,0.059701,0.219780,0.008584,0.020000,False,False,False
all-MiniLM-L6-v2|code|0.75,all-MiniLM-L6-v2,code,0.75,300,4,2,231,63,0.666667,0.059701,0.219780,0.008584,0.020000,False,False,False
all-MiniLM-L6-v2|code|0.80,all-MiniLM-L6-v2,code,0.80,300,3,2,231,64,0.600000,0.044776,0.172414,0.008584,0.016667,False,False,False
all-MiniLM-L6-v2|code|0.85,all-MiniLM-L6-v2,code,0.85,300,3,1,232,64,0.750000,0.044776,0.180723,0.004292,0.013333,False,False,False
all-MiniLM-L6-v2|code|0.90,all-MiniLM-L6-v2,code,0.90,300,1,1,232,66,0.500000,0.014925,0.066667,0.004292,0.006667,False,False,False
all-MiniLM-L6-v2|chat|0.70,all-MiniLM-L6-v2,chat,0.70,300,5,2,155,138,0.714286,0.034965,0.146199,0.012739,0.023333,False,False,False
all-MiniLM-L6-v2|chat|0.75,all-MiniLM-L6-v2,chat,0.75,300,2,0,157,141,1.000000,0.013986,0.066225,0.000000,0.006667,False,False,False
all-MiniLM-L6-v2|chat|0.80,all-MiniLM-L6-v2,chat,0.80,300,1,0,157,142,1.000000,0.006993,0.034014,0.000000,0.003333,False,False,False
all-MiniLM-L6-v2|chat|0.85,all-MiniLM-L6-v2,chat,0.85,300,1,0,157,142,1.000000,0.006993,0.034014,0.000000,0.003333,False,False,False
all-MiniLM-L6-v2|chat|0.90,all-MiniLM-L6-v2,chat,0.90,300,1,0,157,142,1.000000,0.006993,0.034014,0.000000,0.003333,False,False,False
modernbert|faq|0.70,modernbert,faq,0.70,300,55,5,132,108,0.916667,0.337423,0.682382,0.036496,0.200000,False,False,False
modernbert|faq|0.75,modernbert,faq,0.75,300,32,4,133,131,0.888889,0.196319,0.521173,0.029197,0.120000,False,False,False
modernbert|faq|0.80,modernbert,faq,0.80,300,21,2,135,142,0.913043,0.128834,0.411765,0.014599,0.076667,False,False,False
modernbert|faq|0.85,modernbert,faq,0.85,300,12,0,137,151,1.000000,0.073620,0.284360,0.000000,0.040000,False,False,False
modernbert|faq|0.90,modernbert,faq,0.90,300,5,0,137,158,1.000000,0.030675,0.136612,0.000000,0.016667,False,False,False
modernbert|code|0.70,modernbert,code,0.70,300,4,2,231,63,0.666667,0.059701,0.219780,0.008584,0.020000,False,False,False
modernbert|code|0.75,modernbert,code,0.75,300,4,2,231,63,0.666667,0.059701,0.219780,0.008584,0.020000,False,False,False
modernbert|code|0.80,modernbert,code,0.80,300,4,1,232,63,0.800000,0.059701,0.229885,0.004292,0.016667,False,False,False
modernbert|code|0.85,modernbert,code,0.85,300,3,0,233,64,1.000000,0.044776,0.189873,0.000000,0.010000,False,False,False
modernbert|code|0.90,modernbert,code,0.90,300,1,0,233,66,1.000000,0.014925,0.070423,0.000000,0.003333,False,False,False
modernbert|chat|0.70,modernbert,chat,0.70,300,6,1,156,137,0.857143,0.041958,0.175439,0.006369,0.023333,False,False,False
modernbert|chat|0.75,modernbert,chat,0.75,300,1,0,157,142,1.000000,0.006993,0.034014,0.000000,0.003333,False,False,False
modernbert|chat|0.80,modernbert,chat,0.80,300,1,0,157,142,1.000000,0.006993,0.034014,0.000000,0.003333,False,False,False
modernbert|chat|0.85,modernbert,chat,0.85,300,1,0,157,142,1.000000,0.006993,0.034014,0.000000,0.003333,False,False,False
modernbert|chat|0.90,modernbert,chat,0.90,300,1,0,157,142,1.000000,0.006993,0.034014,0.000000,0.003333,False,False,False
