quantity,level,estimate,boot_mean,n_infinite,n_undefined,ci_low,ci_high,ci_level,bonferroni_ci_low,bonferroni_ci_high,bonferroni_ci_level
pooled_fpr,all-MiniLM-L6-v2,0.009867172676,0.009826717268,0,0,0.004174573055,0.01669829222,0.95,,,
pooled_fpr,modernbert,0.006451612903,0.006436356736,0,0,0.002277039848,0.01138519924,0.95,,,
mean_config_fpr,all-MiniLM-L6-v2,0.01092412924,0.01087753062,0,0,0.004866180049,0.01774029316,0.95,,,
mean_config_fpr,modernbert,0.007208041668,0.007190888554,0,0,0.002341861619,0.01304745773,0.95,,,
diff_pooled_fpr,all-MiniLM-L6-v2-modernbert,0.003415559772,0.003390360531,0,0,0.0007590132827,0.006451612903,0.95,,,
diff_mean_config_fpr,all-MiniLM-L6-v2-modernbert,0.003716087573,0.003686642066,0,0,0.0007727410378,0.007208041668,0.95,,,
pooled_fpr,chat,0.001910828025,0.001920254777,0,0,0,0.005095541401,0.95,,,
pooled_fpr,code,0.005579399142,0.005560987124,0,0,0,0.01459227468,0.95,,,
pooled_fpr,faq,0.0197080292,0.01962138686,0,0,0.006569343066,0.03576642336,0.95,,,
diff_pooled_fpr,chat-code,-0.003668571116,-0.003640732347,0,0,-0.01330472103,0.003184713376,0.95,-0.01587982833,0.004458598726,0.9833333333
diff_pooled_fpr,chat-faq,-0.01779720117,-0.01770113208,0,0,-0.03439955368,-0.004114556697,0.95,-0.03823515738,-0.002017760007,0.9833333333
diff_pooled_fpr,code-faq,-0.01412863006,-0.01406039974,0,0,-0.03164687823,0.001842047555,0.95,-0.03649635036,0.004633313493,0.9833333333
odds_ratio_pooled,modernbert/all-MiniLM-L6-v2,0.6515984016,0.6486368586,0,0,0.3977142857,0.8835993639,0.95,,,
odds_ratio_pooled,code/chat,2.930657459,,1212,174,0,inf,0.95,,,
odds_ratio_pooled,faq/chat,10.5011169,,1386,0,2.305309735,inf,0.95,,,
