method,formula,term,coef,se,odds_ratio,or_ci_low,or_ci_high,ci_method
logistic_ml,C(model) * C(workload) + C(threshold),Intercept,-5.06534196,0.725970779,0.006311752166,0.001521256652,0.02618770169,wald
logistic_firth,C(model) * C(workload) + C(threshold),Intercept,-4.833991485,0.6404858417,0.007954706726,0.001631269714,0.02344038821,profile_penalised_likelihood
logistic_ml,C(model) * C(workload) + C(threshold),C(model)[T.modernbert],-0.6954495131,1.226623304,0.4988501579,0.04506781101,5.521712158,wald
logistic_firth,C(model) * C(workload) + C(threshold),C(model)[T.modernbert],-0.5130202168,1.01440343,0.598684688,0.05463154093,4.518088941,profile_penalised_likelihood
logistic_ml,C(model) * C(workload) + C(threshold),C(workload)[T.code],0.999334479,0.7930105877,2.716473357,0.57410802,12.85337818,wald
logistic_firth,C(model) * C(workload) + C(threshold),C(workload)[T.code],0.8368350205,0.7077476605,2.309047312,0.6345180105,12.23970641,profile_penalised_likelihood
logistic_ml,C(model) * C(workload) + C(threshold),C(workload)[T.faq],2.253828135,0.7533494017,9.524125782,2.175569437,41.69435844,wald
logistic_firth,C(model) * C(workload) + C(threshold),C(workload)[T.faq],2.059466421,0.6688635624,7.841784483,2.430262924,39.60419618,profile_penalised_likelihood
logistic_ml,C(model) * C(workload) + C(threshold),C(threshold)[T.0.75],-0.4936561711,0.3578665365,0.6103906169,0.3026852798,1.230904607,wald
logistic_firth,C(model) * C(workload) + C(threshold),C(threshold)[T.0.75],-0.4784696722,0.3435683261,0.6197310582,0.3035646263,1.221883674,profile_penalised_likelihood
logistic_ml,C(model) * C(workload) + C(threshold),C(threshold)[T.0.80],-1.123205879,0.4404617178,0.3252354561,0.137175386,0.7711157592,wald
logistic_firth,C(model) * C(workload) + C(threshold),C(threshold)[T.0.80],-1.076042356,0.4174827033,0.3409421869,0.1376416496,0.7556805109,profile_penalised_likelihood
logistic_ml,C(model) * C(workload) + C(threshold),C(threshold)[T.0.85],-3.079582094,1.02526064,0.04597846733,0.006163835663,0.3429714181,wald
logistic_firth,C(model) * C(workload) + C(threshold),C(threshold)[T.0.85],-2.695228706,0.824946038,0.06752693619,0.007495490784,0.263125482,profile_penalised_likelihood
logistic_ml,C(model) * C(workload) + C(threshold),C(threshold)[T.0.90],-3.079582094,1.02526064,0.04597846733,0.006163835663,0.3429714181,wald
