level,model,workload,threshold,n,events,rate,zero_events,n_pairs,pairs_with_events
cell,all-MiniLM-L6-v2,chat,0.70,157,2,0.0127388535,False,157,2
cell,all-MiniLM-L6-v2,chat,0.75,157,0,0,True,157,0
cell,all-MiniLM-L6-v2,chat,0.80,157,0,0,True,157,0
cell,all-MiniLM-L6-v2,chat,0.85,157,0,0,True,157,0
cell,all-MiniLM-L6-v2,chat,0.90,157,0,0,True,157,0
cell,all-MiniLM-L6-v2,code,0.70,233,2,0.008583690987,False,233,2
cell,all-MiniLM-L6-v2,code,0.75,233,2,0.008583690987,False,233,2
cell,all-MiniLM-L6-v2,code,0.80,233,2,0.008583690987,False,233,2
cell,all-MiniLM-L6-v2,code,0.85,233,1,0.004291845494,False,233,1
cell,all-MiniLM-L6-v2,code,0.90,233,1,0.004291845494,False,233,1
cell,all-MiniLM-L6-v2,faq,0.70,137,9,0.06569343066,False,137,9
cell,all-MiniLM-L6-v2,faq,0.75,137,5,0.03649635036,False,137,5
cell,all-MiniLM-L6-v2,faq,0.80,137,2,0.01459854015,False,137,2
cell,all-MiniLM-L6-v2,faq,0.85,137,0,0,True,137,0
cell,all-MiniLM-L6-v2,faq,0.90,137,0,0,True,137,0
cell,modernbert,chat,0.70,157,1,0.006369426752,False,157,1
cell,modernbert,chat,0.75,157,0,0,True,157,0
cell,modernbert,chat,0.80,157,0,0,True,157,0
cell,modernbert,chat,0.85,157,0,0,True,157,0
cell,modernbert,chat,0.90,157,0,0,True,157,0
cell,modernbert,code,0.70,233,2,0.008583690987,False,233,2
cell,modernbert,code,0.75,233,2,0.008583690987,False,233,2
cell,modernbert,code,0.80,233,1,0.004291845494,False,233,1
cell,modernbert,code,0.85,233,0,0,True,233,0
cell,modernbert,code,0.90,233,0,0,True,233,0
cell,modernbert,faq,0.70,137,5,0.03649635036,False,137,5
cell,modernbert,faq,0.75,137,4,0.02919708029,False,137,4
cell,modernbert,faq,0.80,137,2,0.01459854015,False,137,2
cell,modernbert,faq,0.85,137,0,0,True,137,0
cell,modernbert,faq,0.90,137,0,0,True,137,0
model:workload,all-MiniLM-L6-v2,chat,ALL,785,2,0.002547770701,False,157,2
model:workload,all-MiniLM-L6-v2,code,ALL,1165,8,0.00686695279,False,233,2
model:workload,all-MiniLM-L6-v2,faq,ALL,685,16,0.02335766423,False,137,9
model:workload,modernbert,chat,ALL,785,1,0.00127388535,False,157,1
model:workload,modernbert,code,ALL,1165,5,0.004291845494,False,233,2
model:workload,modernbert,faq,ALL,685,11,0.01605839416,False,137,5
model,all-MiniLM-L6-v2,ALL,ALL,2635,26,0.009867172676,False,527,13
model,modernbert,ALL,ALL,2635,17,0.006451612903,False,527,8
workload,ALL,chat,ALL,1570,3,0.001910828025,False,157,2
workload,ALL,code,ALL,2330,13,0.005579399142,False,233,2
workload,ALL,faq,ALL,1370,27,0.0197080292,False,137,9
threshold,ALL,ALL,0.70,1054,21,0.01992409867,False,527,13
threshold,ALL,ALL,0.75,1054,13,0.01233396584,False,527,7
threshold,ALL,ALL,0.80,1054,7,0.006641366224,False,527,5
threshold,ALL,ALL,0.85,1054,1,0.0009487666034,False,527,1
threshold,ALL,ALL,0.90,1054,1,0.0009487666034,False,527,1
total,ALL,ALL,ALL,5270,43,0.008159392789,False,527,13
